# MIDI File Information
Filename,Beethoven__Ode_to_Joy.mid
Duration (seconds),40.80
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),480

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,100.00

# Time Signature Changes
Time (seconds),Numerator,Denominator
0.0000,4,4

# Instrument 1: RightHand 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
40,33.6000,36.0000,2.4000,47,B2,127,118,0
41,33.6000,36.0000,2.4000,55,G3,127,115,0
42,36.0000,37.2000,1.2000,52,E3,127,106,0
43,36.0000,37.2000,1.2000,55,G3,127,107,0
44,37.2000,37.8000,0.6000,50,D3,127,121,0
45,37.8000,38.4000,0.6000,48,C3,127,95,0
46,38.4000,39.3000,0.9000,53,F3,127,110,0
47,38.4000,39.3000,0.9000,55,G3,127,110,0
48,39.3000,39.6000,0.3000,55,G3,127,111,0
49,39.3000,39.6000,0.3000,52,E3,127,111,0
50,39.6000,40.8000,1.2000,55,G3,127,114,0
51,39.6000,40.8000,1.2000,52,E3,127,114,0

# Control Changes for Instrument 2
Time (s),Control Number,Control Name,Value
0.0000,7,Volume,100
0.0000,10,Pan,64
0.0000,93,Chorus,0
0.0000,91,Reverb,0

# Summary
Total Instruments,2
Total Notes,113
