# Instrument 1: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
112,50.3400,50.5200,0.1800,71,B4,127,127,0
113,50.5200,50.6400,0.1200,69,A4,127,127,0
114,50.6400,51.8400,1.2000,79,G5,127,127,0
115,51.8400,52.4400,0.6000,74,D5,127,127,0
116,52.4400,52.6200,0.1800,72,C5,127,127,0
117,52.6200,52.8000,0.1800,71,B4,127,127,0
118,52.8000,52.9800,0.1800,72,C5,127,127,0
119,52.9800,54.1800,1.2000,69,A4,127,127,0
120,54.1800,54.7800,0.6000,74,D5,127,127,0
121,55.0800,61.0800,6.0000,79,G5,127,127,0
122,61.0800,61.1400,0.0600,79,G5,127,127,0
123,61.1400,61.2000,0.0600,79,G5,127,127,0
124,61.2000,61.2600,0.0600,79,G5,127,127,0
125,61.2600,61.3800,0.1200,79,G5,127,127,0

# Instrument 2: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.4800,1.6800,1.2000,62,D4,127,127,0
2,1.6800,2.8800,1.2000,71,B4,127,127,0
3,2.8800,3.3600,0.4800,67,G4,127,127,0
4,3.3600,4.5600,1.2000,74,D5,127,127,0
5,4.5600,5.1600,0.6000,71,B4,127,127,0
6,5.1600,5.6400,0.4800,67,G4,127,127,0
7,5.6400,6.8400,1.2000,74,D5,127,127,0
8,6.8400,7.4400,0.6000,71,B4,127,127,0
9,7.4400,7.9800,0.5400,69,A4,127,127,0
10,7.9800,9.1800,1.2000,66,F#4,127,127,0
11,9.7200,10.9200,1.2000,62,D4,127,127,0
12,10.9200,12.1200,1.2000,71,B4,127,127,0
13,12.1200,12.6000,0.4800,67,G4,127,127,0
14,12.6000,13.8000,1.2000,74,D5,127,127,0
15,13.8000,14.4000,0.6000,71,B4,127,127,0
16,14.4000,14.8800,0.4800,67,G4,127,127,0
17,14.8800,16.0800,1.2000,74,D5,127,127,0
18,16.0800,16.6800,0.6000,71,B4,127,127,0
19,16.6800,17.2200,0.5400,69,A4,127,127,0
20,17.2200,17.8200,0.6000,66,F#4,127,127,0
21,18.3600,19.2600,0.9000,60,C4,127,127,0
22,19.5600,20.7600,1.2000,67,G4,127,127,0
23,20.7600,21.3000,0.5400,64,E4,127,127,0
24,22.0200,22.6200,0.6000,62,D4,127,127,0
25,23.1600,24.0600,0.9000,60,C4,127,127,0
26,24.0600,24.3600,0.3000,60,C4,127,127,0
27,24.3600,25.5600,1.2000,67,G4,127,127,0
28,25.5600,25.9800,0.4200,70,A#4,127,127,0
29,26.1000,27.3000,1.2000,66,F#4,127,127,0
30,27.8400,28.7400,0.9000,60,C4,127,127,0
31,29.0400,30.2400,1.2000,67,G4,127,127,0
32,30.2400,31.3200,1.0800,64,E4,127,127,0
33,32.4600,32.8200,0.3600,75,D#5,127,127,0
34,32.8200,33.3600,0.5400,72,C5,127,127,0
35,35.2200,35.2800,0.0600,66,F#4,127,127,0
36,35.2800,35.3400,0.0600,66,F#4,127,127,0
37,35.3400,35.4000,0.0600,66,F#4,127,127,0
38,35.4000,35.7000,0.3000,66,F#4,127,127,0
39,36.2400,37.4400,1.2000,62,D4,127,127,0
40,37.4400,38.6400,1.2000,71,B4,127,127,0
41,38.6400,39.1200,0.4800,67,G4,127,127,0
42,39.1200,40.3200,1.2000,74,D5,127,127,0
43,40.3200,40.9200,0.6000,71,B4,127,127,0
44,40.9200,41.4000,0.4800,67,G4,127,127,0
45,41.4000,42.6000,1.2000,74,D5,127,127,0
46,42.6000,43.2000,0.6000,71,B4,127,127,0
47,43.2000,43.7400,0.5400,69,A4,127,127,0
48,43.7400,44.9400,1.2000,66,F#4,127,127,0
49,45.4800,46.6800,1.2000,62,D4,127,127,0
50,46.6800,47.8800,1.2000,71,B4,127,127,0
51,47.8800,48.3600,0.4800,67,G4,127,127,0
52,48.3600,49.5600,1.2000,74,D5,127,127,0
53,49.5600,50.1600,0.6000,71,B4,127,127,0
54,50.1600,50.6400,0.4800,67,G4,127,127,0
55,50.6400,51.8400,1.2000,74,D5,127,127,0
56,51.8400,52.4400,0.6000,71,B4,127,127,0
57,52.4400,52.9800,0.5400,69,A4,127,127,0
58,52.9800,54.1800,1.2000,66,F#4,127,127,0
59,54.1800,54.7800,0.6000,62,D4,127,127,0
60,55.0800,61.0800,6.0000,74,D5,127,127,0
61,61.0800,61.1400,0.0600,74,D5,127,127,0
62,61.1400,61.2000,0.0600,74,D5,127,127,0
63,61.2000,61.2600,0.0600,74,D5,127,127,0
64,61.2600,61.3800,0.1200,74,D5,127,127,0

# Instrument 3: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.4800,1.6800,1.2000,59,B3,127,127,0
2,1.6800,2.8800,1.2000,67,G4,127,127,0
3,2.8800,3.3600,0.4800,64,E4,127,127,0
4,3.3600,4.5600,1.2000,71,B4,127,127,0
5,4.5600,5.1600,0.6000,67,G4,127,127,0
6,5.1600,5.6400,0.4800,64,E4,127,127,0
7,5.6400,6.8400,1.2000,71,B4,127,127,0
8,6.8400,7.4400,0.6000,67,G4,127,127,0
9,7.4400,7.9800,0.5400,65,F4,127,127,0
10,7.9800,9.1800,1.2000,62,D4,127,127,0
11,9.7200,10.9200,1.2000,59,B3,127,127,0
12,10.9200,12.1200,1.2000,67,G4,127,127,0
13,12.1200,12.6000,0.4800,64,E4,127,127,0
14,12.6000,13.8000,1.2000,71,B4,127,127,0
15,13.8000,14.4000,0.6000,67,G4,127,127,0
16,14.4000,14.8800,0.4800,64,E4,127,127,0
17,14.8800,16.0800,1.2000,71,B4,127,127,0
18,16.0800,16.6800,0.6000,67,G4,127,127,0
19,16.6800,17.2200,0.5400,65,F4,127,127,0
20,17.2200,17.8200,0.6000,62,D4,127,127,0
21,18.3600,19.2600,0.9000,55,G3,127,127,0
22,19.5600,20.7600,1.2000,64,E4,127,127,0
23,22.0200,22.6200,0.6000,57,A3,127,127,0
24,23.1600,24.0600,0.9000,55,G3,127,127,0
25,24.0600,24.3600,0.3000,55,G3,127,127,0
26,24.3600,25.5600,1.2000,60,C4,127,127,0
27,25.5600,25.9800,0.4200,65,F4,127,127,0
28,26.1000,27.3000,1.2000,62,D4,127,127,0
29,27.8400,28.7400,0.9000,55,G3,127,127,0
30,29.0400,30.2400,1.2000,64,E4,127,127,0
31,30.2400,31.1400,0.9000,60,C4,127,127,0
32,32.4600,32.8200,0.3600,72,C5,127,127,0
33,32.8200,33.9000,1.0800,67,G4,127,127,0
34,35.2200,35.2800,0.0600,60,C4,127,127,0
35,35.2800,35.3400,0.0600,60,C4,127,127,0
36,35.3400,35.4000,0.0600,60,C4,127,127,0
37,35.4000,35.7000,0.3000,60,C4,127,127,0
38,35.7000,35.8800,0.1800,62,D4,127,127,0
39,35.8800,36.0600,0.1800,62,D4,127,127,0
40,36.0600,36.2400,0.1800,62,D4,127,127,0
41,36.2400,37.4400,1.2000,59,B3,127,127,0
42,37.4400,38.6400,1.2000,67,G4,127,127,0
43,38.6400,39.1200,0.4800,64,E4,127,127,0
44,39.1200,40.3200,1.2000,71,B4,127,127,0
45,40.3200,40.9200,0.6000,67,G4,127,127,0
46,40.9200,41.4000,0.4800,64,E4,127,127,0
