# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
67,16.5586,16.6449,0.0863,63,D#4,86,43,0
68,16.6165,16.7122,0.0957,64,E4,86,43,0
69,16.6920,16.7783,0.0863,63,D#4,84,42,0
70,16.7527,17.0870,0.3343,51,D#3,82,41,0
71,16.7675,16.8524,0.0849,64,E4,82,41,0
72,16.8430,16.9117,0.0687,63,D#4,80,40,0
73,16.8929,16.9859,0.0930,64,E4,78,39,0
74,16.9670,17.0196,0.0526,63,D#4,78,39,0
75,17.0169,17.1112,0.0944,61,C#4,76,38,0
76,17.0438,17.6800,0.6362,49,C#3,78,39,0
77,17.0991,17.2096,0.1105,63,D#4,78,39,0
78,17.2069,17.9213,0.7144,64,E4,80,40,0
79,17.5749,17.9955,0.4205,52,E3,68,34,0
80,17.8458,18.3769,0.5311,46,A#2,66,33,0
81,17.9011,18.6492,0.7481,61,C#4,74,37,0
82,18.2084,18.5764,0.3680,49,C#3,66,33,0
83,18.4821,19.1250,0.6430,47,B2,68,34,0
84,18.5387,19.2490,0.7103,63,D#4,80,40,0
85,18.8810,19.1857,0.3046,51,D#3,66,33,0
86,19.1398,19.6156,0.4757,46,A#2,68,34,0
87,19.5132,19.8729,0.3597,49,C#3,66,33,0
88,19.7880,20.3539,0.5659,44,G#2,70,35,0
89,20.2354,20.6234,0.3880,47,B2,66,33,0
90,20.5641,21.0074,0.4433,40,E2,70,35,0
91,20.9535,21.3254,0.3719,44,G#2,66,33,0
92,21.2405,22.1082,0.8677,39,D#2,70,35,0
93,21.7795,22.1837,0.4042,48,C3,66,33,0
94,22.1136,22.3076,0.1940,51,D#3,66,33,0
95,22.4019,22.7590,0.3571,60,C4,66,33,0
96,22.7051,23.1659,0.4608,63,D#4,66,33,0
97,23.0635,23.2481,0.1846,60,C4,66,33,0
98,23.3033,23.6941,0.3907,51,D#3,70,35,0
99,23.6590,23.9258,0.2668,48,C3,66,33,0
100,23.8652,24.6936,0.8285,39,D#2,70,35,0
101,24.4054,24.8108,0.4054,48,C3,66,33,0
102,24.7408,25.1139,0.3731,51,D#3,66,33,0
103,25.0438,25.4654,0.4216,60,C4,66,33,0
104,25.3698,25.8209,0.4512,63,D#4,66,33,0
105,25.7523,26.1361,0.3838,61,C#4,66,33,0
106,26.0607,26.6237,0.5630,51,D#3,66,33,0
107,26.5550,26.9119,0.3569,49,C#3,66,33,0
108,26.8580,27.6109,0.7529,44,G#2,66,33,0
109,27.5408,27.9786,0.4377,51,D#3,66,33,0
110,27.9085,28.2452,0.3367,56,G#3,66,33,0
111,28.2493,28.6197,0.3704,60,C4,66,33,0
112,28.5914,29.1436,0.5522,63,D#4,66,33,0
113,31.9075,31.9412,0.0337,41,F2,66,33,0
114,35.8716,36.2726,0.4010,65,F4,70,35,0
115,36.3830,36.5283,0.1453,65,F4,66,33,0
116,36.6239,36.9791,0.3553,65,F4,70,35,0
117,37.1258,37.3210,0.1951,65,F4,66,33,0
118,37.4004,37.6439,0.2436,65,F4,72,36,0
119,37.7476,37.9535,0.2059,65,F4,66,33,0
120,38.0086,38.2764,0.2678,65,F4,72,36,0
121,38.3747,38.5860,0.2113,65,F4,66,33,0
122,44.6257,45.5239,0.8982,64,E4,96,48,0
123,45.6396,45.9973,0.3577,64,E4,90,45,0
124,45.9448,46.6588,0.7140,62,D4,96,48,0
125,46.8834,47.3002,0.4169,62,D4,92,46,0
126,47.1739,47.6405,0.4666,60,C4,98,49,0
127,47.7749,48.7591,0.9842,60,C4,100,50,0
128,48.6650,49.5428,0.8777,62,D4,102,51,0
129,49.4177,50.1745,0.7568,64,E4,100,50,0
